["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-11 00:13:32"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:49"]
["b7325df1850b82b9b5ab1189324c9369","2022-01-11 14:21:41"]
["a8aacfcdfaa1840adc1f23d2e7ee1cd8","2022-01-11 15:45:09"]
["bae1cc02a59a00db996e9aeb286f1a94","2022-01-11 18:41:40"]
["813487f062b928b71ffdeb72c25662a9","2022-01-11 18:54:07"]
["813487f062b928b71ffdeb72c25662a9","2022-01-11 18:54:12"]
["fb5cab77db023f2a0230ab82ebb97640","2022-01-11 19:09:31"]
["980b6e8934121fa6c974fa3c6bbc30ef","2022-01-11 20:57:02"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:10:41"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:10:46"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:10:51"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:10:56"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:11:00"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:11:02"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:11:04"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 21:11:08"]
["2541e480ce26cf093cc1defe11812ac7","2022-01-11 21:42:40"]
["43574920a8953612bfdcec3bb7e09cf8","2022-01-11 22:01:50"]
["1576de4cc3ea4fd7e560e4a654e41a86","2022-01-11 22:27:02"]
