["5f088845628b63ecce6c90c383527d4f","2021-09-12 00:49:17"]
["3c9e519e681191fd06e7437c49ac8505","2021-09-12 09:39:53"]
["d19212a0c99206f2d3c48e1ceb098176","2021-09-12 09:39:56"]
["ff41d5f72bd53d29884f7a1cd8ef6249","2021-09-12 09:39:56"]
["3019f20b082d32b0829eef4027bae33b","2021-09-12 09:40:47"]
["ff41d5f72bd53d29884f7a1cd8ef6249","2021-09-12 09:40:47"]
["3503818430599df83a971aa48bb15ffe","2021-09-12 09:40:48"]
["ff41d5f72bd53d29884f7a1cd8ef6249","2021-09-12 09:40:52"]
["a5e7a4ab2f5bdbd3276d53f841cc078f","2021-09-12 09:40:53"]
["d19212a0c99206f2d3c48e1ceb098176","2021-09-12 09:40:54"]
["3019f20b082d32b0829eef4027bae33b","2021-09-12 09:40:55"]
["50af607a8643ef178786a6bda0e01da0","2021-09-12 09:57:57"]
["c75f587c61f1738041fadb0ba4a45175","2021-09-12 13:07:52"]
["c75f587c61f1738041fadb0ba4a45175","2021-09-12 13:08:09"]
["c75f587c61f1738041fadb0ba4a45175","2021-09-12 13:08:34"]
["872f999d2c4c85d9d6d3753393882f41","2021-09-12 16:09:37"]
["6987bac7424cba997d9eca05013e405e","2021-09-12 16:39:10"]
["044919e219e5561222c72782244d190a","2021-09-12 19:43:17"]
["0b179148ee096b55554db066a4cf90ef","2021-09-12 19:43:18"]
["067c3c8e6fc5a66956a913a4f309d6be","2021-09-12 19:43:31"]
["067c3c8e6fc5a66956a913a4f309d6be","2021-09-12 19:43:34"]
["1d2d0f0ff2a501be2cde3661e0c670ea","2021-09-12 19:43:48"]
["1d2d0f0ff2a501be2cde3661e0c670ea","2021-09-12 19:43:50"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-12 22:16:08"]
