["0c3087a04299295fcd7330bf28363bed","2021-11-01 01:11:59"]
["8ff737991d8d4941971250ea909ab08b","2021-11-01 07:14:07"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-11-01 07:28:55"]
["8ff737991d8d4941971250ea909ab08b","2021-11-01 08:08:40"]
["3089123759d094bc9e91637da3d9e621","2021-11-01 09:42:52"]
["12905a0151526400782e91dd6e5bdf95","2021-11-01 11:33:37"]
["308a05449dd21c81b543793b77280515","2021-11-01 12:15:53"]
["8ff737991d8d4941971250ea909ab08b","2021-11-01 13:08:20"]
["4666afacbe393ff122ea519e99b70eb6","2021-11-01 13:45:07"]
["181005780e27cbe3d2e3bca55c02368a","2021-11-01 15:05:42"]
["2e42ba3b2913e804bb418e08ad672247","2021-11-01 15:37:59"]
["3574735038ac2e6ecf966a3302f8d383","2021-11-01 15:51:14"]
["6ecd63197531c7f3e76e986cfa3441bd","2021-11-01 18:24:38"]
["8ff6ac4e7d4710b126c8326b33a5ae5f","2021-11-01 18:24:39"]
["3c12d7a36f791ac38949f14ef71d7b3e","2021-11-01 18:26:11"]
["3c12d7a36f791ac38949f14ef71d7b3e","2021-11-01 18:26:13"]
["bcdb13258abc8f04a2438e41279241e2","2021-11-01 18:29:39"]
["eb32d57dbc4ec1bf1ad1fca0498a061e","2021-11-01 18:42:33"]
["6ecd63197531c7f3e76e986cfa3441bd","2021-11-01 18:42:36"]
["53c73680c67233b3bd66829fdff127f0","2021-11-01 18:42:48"]
["53c73680c67233b3bd66829fdff127f0","2021-11-01 18:42:49"]
["c8ce32814545393f3d8f4eb52f3f0061","2021-11-01 18:42:56"]
["c8ce32814545393f3d8f4eb52f3f0061","2021-11-01 18:42:58"]
["01cfe7bbb95abf366c4a0e169f0c891f","2021-11-01 19:08:03"]
["5f5b9a721f0c4b3f25609ae1b6353615","2021-11-01 20:59:02"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-11-01 21:47:12"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-11-01 22:02:21"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-11-01 22:17:35"]
